# sigma8,om0,ode0
8.099563691980899982e-01,3.544578950168199016e-01,6.973047325509150740e-01
8.099772217838298038e-01,3.545383307913606008e-01,6.974718221518146910e-01
8.099493468839490395e-01,3.546098621112646621e-01,6.973159100609673811e-01
8.099660282536784717e-01,3.546717391418781617e-01,6.972914332220098155e-01
8.100759260571444020e-01,3.545887592926500465e-01,6.974346431617856057e-01
8.099729504143401426e-01,3.545329696877175252e-01,6.974848847207584246e-01
8.100615957567409708e-01,3.546173349123592500e-01,6.974375126233787192e-01
8.100310441967710773e-01,3.545941797035584986e-01,6.973704299283994823e-01
8.098621199320786834e-01,3.543736466291196874e-01,6.977380209955350576e-01
8.100905035886342143e-01,3.545646274035361700e-01,6.974967864834744624e-01
8.100068485410824026e-01,3.548142910869008793e-01,6.974940650151441046e-01
8.099424229455406410e-01,3.546771414497810748e-01,6.973465656393411649e-01
8.099242015934050576e-01,3.546003066662409831e-01,6.973967165427652493e-01
8.100191348757705967e-01,3.544928304168019628e-01,6.973585558053101430e-01
8.100033584175981849e-01,3.546356653848544704e-01,6.973734913368750954e-01
8.100081481540524209e-01,3.545748645183186554e-01,6.974862257880607430e-01
8.099375061578640844e-01,3.545563527620840816e-01,6.972564751248978565e-01
8.099548180444404721e-01,3.545854214756796741e-01,6.974569096478844266e-01
8.099936270203719202e-01,3.542951245396778193e-01,6.972597686915205095e-01
8.100778683133117442e-01,3.544492581768298178e-01,6.975312565578973834e-01
8.099563691980899982e-01,3.544578950168199016e-01,6.973047325509150740e-01
8.099772217838298038e-01,3.545383307913606008e-01,6.974718221518146910e-01
8.099413845050221772e-01,3.546302948115309106e-01,6.972713742544921489e-01
8.099660282536784717e-01,3.546717391418781617e-01,6.972914332220098155e-01
8.100759260571444020e-01,3.545887592926500465e-01,6.974346431617856057e-01
8.099716830571671577e-01,3.545317635231328146e-01,6.974855619968091114e-01
8.100448730290967791e-01,3.546259594030141682e-01,6.974245776157995680e-01
8.100622039680818176e-01,3.545923928250100388e-01,6.973627636523413997e-01
8.098621199320786834e-01,3.543736466291196874e-01,6.977380209955350576e-01
8.100905035886342143e-01,3.545646274035361700e-01,6.974967864834744624e-01
8.099932108287501986e-01,3.546872617568392894e-01,6.974838262377799358e-01
8.099427726596498678e-01,3.546786161047729147e-01,6.973456031159022128e-01
8.099242015934050576e-01,3.546003066662409831e-01,6.973967165427652493e-01
8.100191348757705967e-01,3.544928304168019628e-01,6.973585558053101430e-01
8.100201029692204457e-01,3.546248420827982639e-01,6.973876017571039032e-01
8.100248105726440828e-01,3.545945480520443227e-01,6.974939861367420724e-01
