# sigma8,om0,ode0
8.098479795685026295e-01,3.320052772002993202e-01,7.126547429906437969e-01
8.099294809807948692e-01,3.319623008988655255e-01,7.125255942357880956e-01
8.102118503147974771e-01,3.324926210512995639e-01,7.127514863986718074e-01
8.100376412248931901e-01,3.318840056278196116e-01,7.124393192180688006e-01
8.099425208594532855e-01,3.319696207690919221e-01,7.125182135215220036e-01
8.100880903831636504e-01,3.319746171690117209e-01,7.126605690477271215e-01
8.102747183012557475e-01,3.320415556748149699e-01,7.125592355578762582e-01
8.101243698571664043e-01,3.319506184213122379e-01,7.125823714547534493e-01
8.099046941304656189e-01,3.315655990325614977e-01,7.126198818193824058e-01
8.099893476874283627e-01,3.321279226992066569e-01,7.124809635831786947e-01
8.097905025907464749e-01,3.322603209534754631e-01,7.126083072609903368e-01
8.099897368616265636e-01,3.321656580779445700e-01,7.124570790636329809e-01
8.100533727586195498e-01,3.319841505249917502e-01,7.125412668997300747e-01
8.099417642409143525e-01,3.318590326547816716e-01,7.124788080490117581e-01
8.099813690983383996e-01,3.319263961474027691e-01,7.123965639035242381e-01
8.098260727694250871e-01,3.319534351812224449e-01,7.124862819124857527e-01
8.102337727479173024e-01,3.319859947079483731e-01,7.125120790391250569e-01
8.102150543157485840e-01,3.316841525728468354e-01,7.124561327286188517e-01
8.099070191989498069e-01,3.317373126001183503e-01,7.123802068024291945e-01
8.100765313940959667e-01,3.321887756456208818e-01,7.122771446646635196e-01
8.098864524850665214e-01,3.319839707846944377e-01,7.125835922342924622e-01
8.099732875888968620e-01,3.319305900768020345e-01,7.124906514902189514e-01
8.102799950195165302e-01,3.326531634606616494e-01,7.128259930834434099e-01
8.100459048837745923e-01,3.318773724768503963e-01,7.124411794609007975e-01
8.100727765624796683e-01,3.318446632025460752e-01,7.124927434697929662e-01
8.100854221749501649e-01,3.319736601531868558e-01,7.126620178065874445e-01
8.102344391706441940e-01,3.320595116606126496e-01,7.125446310281067230e-01
8.101450755802089843e-01,3.319408390575631085e-01,7.125943592619952138e-01
8.099610423118343006e-01,3.311287612208593800e-01,7.125852458540681278e-01
8.099893476874283627e-01,3.321279226992066569e-01,7.124809635831786947e-01
8.098746417087123728e-01,3.321085400884692951e-01,7.125541482606539967e-01
8.099885155268503611e-01,3.321691416697071797e-01,7.124554632848536517e-01
8.100395207951048837e-01,3.319906928413151603e-01,7.125332471523302402e-01
8.100032503019405361e-01,3.319080935953382938e-01,7.125572224186077497e-01
8.099724050980551260e-01,3.319363699720132010e-01,7.124246338300249670e-01
8.097467568029124152e-01,3.319657435992450778e-01,7.124839276842741542e-01
8.104675329710472331e-01,3.321639024466659929e-01,7.126064207335675027e-01
8.102149587599664082e-01,3.317082642503981771e-01,7.124649413249286578e-01
