# sigma8,om0
8.101729366146651623e-01,3.411985790142731401e-01
8.100806056581751902e-01,3.410645801280087208e-01
8.096843466933392186e-01,3.409129389628489659e-01
8.101161934208804816e-01,3.411931355434380531e-01
8.099184324195868312e-01,3.411997719868979373e-01
8.098569332474543359e-01,3.411332938484123445e-01
8.100404669760942200e-01,3.412319703613303501e-01
8.099650413404582139e-01,3.409666231508801104e-01
8.100383136099328363e-01,3.412288615878894538e-01
8.099398750979849293e-01,3.412233551016907729e-01
8.098066662273375460e-01,3.412956757952043119e-01
8.099108902407785582e-01,3.410199986393854243e-01
8.099817605021712996e-01,3.410215492646230251e-01
8.100646377787800168e-01,3.411177843274546539e-01
8.100036496150063714e-01,3.411847807414872258e-01
8.099674780062697810e-01,3.411658211158347109e-01
8.101764772290388494e-01,3.411384496870770167e-01
8.101992626282692456e-01,3.411777120387152196e-01
8.100483474141281226e-01,3.410832843998449215e-01
8.100974925890764844e-01,3.407082213136595206e-01
8.101145123386763736e-01,3.411953821095567441e-01
8.100806056581751902e-01,3.410645801280087208e-01
8.096843466933392186e-01,3.409129389628489659e-01
8.101329405054423782e-01,3.411937556917472025e-01
8.100453583197574359e-01,3.411854494328819265e-01
8.098543092766828932e-01,3.411318830761927434e-01
8.100220393939352448e-01,3.412021340488881616e-01
8.099601653337055174e-01,3.409506043990966906e-01
8.100383136099328363e-01,3.412288615878894538e-01
8.099451472281843367e-01,3.412123661630908078e-01
8.099327653181819242e-01,3.411892984349158553e-01
8.099095300601426572e-01,3.410199688789417594e-01
8.099850225117856128e-01,3.410322656817603715e-01
8.100646377787800168e-01,3.411177843274546539e-01
8.099839862535310742e-01,3.411882398822865259e-01
8.099674780062697810e-01,3.411658211158347109e-01
8.102681415865271575e-01,3.411779150575164343e-01
8.101839058304224350e-01,3.411698154747802025e-01
8.101079634732767376e-01,3.411213391501330960e-01
8.104825337153218623e-01,3.405174298401885125e-01
8.101145123386763736e-01,3.411953821095567441e-01
8.101039306481032654e-01,3.409739753085135328e-01
8.096843466933392186e-01,3.409129389628489659e-01
8.101329405054423782e-01,3.411937556917472025e-01
8.100453583197574359e-01,3.411854494328819265e-01
8.098937139482518255e-01,3.411292417006396849e-01
8.100204916422698576e-01,3.412051987759265881e-01
8.099848483640573749e-01,3.409546169446046604e-01
8.100257602523738276e-01,3.412335187930564673e-01
8.099451472281843367e-01,3.412123661630908078e-01
8.099327653181819242e-01,3.411892984349158553e-01
8.098020745626102190e-01,3.409280140226276790e-01
8.100416642845529314e-01,3.410044991202935694e-01
8.100620052515583591e-01,3.411136884863254504e-01
8.099839862535310742e-01,3.411882398822865259e-01
8.099674780062697810e-01,3.411658211158347109e-01
8.106034388409270042e-01,3.412215016981778315e-01
8.103500961260291513e-01,3.411569227762850098e-01
8.101981201438245295e-01,3.411866596685773079e-01
8.104825337153218623e-01,3.405174298401885125e-01
8.101145123386763736e-01,3.411953821095567441e-01
8.100803553752427000e-01,3.410160893715264430e-01
8.098796472398637203e-01,3.409845126957993244e-01
8.102330606846916972e-01,3.411815912010822682e-01
8.100453583197574359e-01,3.411854494328819265e-01
8.098514556868793290e-01,3.411135784681921801e-01
8.100242785194897710e-01,3.412069580024468252e-01
8.100154490375077732e-01,3.408167330799196093e-01
8.100498496854769970e-01,3.410193755245857217e-01
8.099451472281843367e-01,3.412123661630908078e-01
8.099399660876838158e-01,3.412170595089484282e-01
8.100789184541913324e-01,3.407609683999254790e-01
8.100395149295611663e-01,3.408992141308214707e-01
8.100620052515583591e-01,3.411136884863254504e-01
8.099839862535310742e-01,3.411882398822865259e-01
8.099674780062697810e-01,3.411658211158347109e-01
