# sigma8,om0
8.100547687408227171e-01,3.285405623315545420e-01
8.100105650028480708e-01,3.285545967536954159e-01
8.099989562023282019e-01,3.284265806183809255e-01
8.099923601270403450e-01,3.285819590480481001e-01
8.100009287317831985e-01,3.286098238222286971e-01
8.099724890512591813e-01,3.285624975362450018e-01
8.097971494655198388e-01,3.285427381643549194e-01
8.098797179593314466e-01,3.287878216986352964e-01
8.097457016357777482e-01,3.284136692308070593e-01
8.099175411229256882e-01,3.283327563212958267e-01
8.100767117745151236e-01,3.285539899190518254e-01
8.101369953103600974e-01,3.284339769039237855e-01
8.099221571198785830e-01,3.284928250666757088e-01
8.100702441776577167e-01,3.287768498200545064e-01
8.100178262545748575e-01,3.285419124339752917e-01
8.101499462268187957e-01,3.286554453297976242e-01
8.100347597615794593e-01,3.285085483938547934e-01
8.100386924242791720e-01,3.288447890263404005e-01
8.101801793725849077e-01,3.289636519208501420e-01
8.099133014911930051e-01,3.285355816228288095e-01
8.100421403741766557e-01,3.285458250676415171e-01
8.100031917404566517e-01,3.285656789153110213e-01
8.099977463339633754e-01,3.283868476201288744e-01
8.099896281536840270e-01,3.285850468890856302e-01
8.100009287317831985e-01,3.286098238222286971e-01
8.099749958708583053e-01,3.285627800348063787e-01
8.098455584224136805e-01,3.285272725486720891e-01
8.098673409253056565e-01,3.288738550533055749e-01
8.097457016357777482e-01,3.284136692308070593e-01
8.099619302848966029e-01,3.283943896263509798e-01
8.100428692224397320e-01,3.285593705676012610e-01
8.101411186018622201e-01,3.284328474579493728e-01
8.099304372568915111e-01,3.284352694388193439e-01
8.100294775938708947e-01,3.286852272586696100e-01
8.100139272515971545e-01,3.285575825832796060e-01
8.102290141764155740e-01,3.287038094140041777e-01
8.099307262451157507e-01,3.281829663080478854e-01
8.100375073354397770e-01,3.288323164234489560e-01
8.101801793725849077e-01,3.289636519208501420e-01
8.098334735495772430e-01,3.286371676967739242e-01
8.100421403741766557e-01,3.285458250676415171e-01
8.101452031669023057e-01,3.286495155821875236e-01
8.100357870598107191e-01,3.283594813092245435e-01
8.101332112091086390e-01,3.285371221745894688e-01
8.098668479675127374e-01,3.285729364727400514e-01
8.099852029249684504e-01,3.285857203048731523e-01
8.098388759811669946e-01,3.285215334891665728e-01
8.099150470230643828e-01,3.288353382664301328e-01
8.096942939867645128e-01,3.283972917628930066e-01
8.099423124872549007e-01,3.283901792069954806e-01
8.100440734332718939e-01,3.285933586052641187e-01
8.101930048174751375e-01,3.283736225076447357e-01
8.100327407850579364e-01,3.285373253766611934e-01
8.100288092147628349e-01,3.286925853198415237e-01
8.099160582241198281e-01,3.283185383478118835e-01
8.102290141764155740e-01,3.287038094140041777e-01
8.099307262451157507e-01,3.281829663080478854e-01
8.100339591481020562e-01,3.290129362368884314e-01
8.101801793725849077e-01,3.289636519208501420e-01
8.099168035821567857e-01,3.285227926572885648e-01
8.100931878160099187e-01,3.287120787697541680e-01
8.101001643422870435e-01,3.285844614490711635e-01
8.100352508338101165e-01,3.285511752082133641e-01
8.104117861473757456e-01,3.285320831202511727e-01
8.098773520325880382e-01,3.284190111330772543e-01
8.100181845297403926e-01,3.285892827352769885e-01
8.098308695008166191e-01,3.285425911385468911e-01
8.098392393397986222e-01,3.289775100704889210e-01
8.099202922482462430e-01,3.283865656863627080e-01
8.098315249765544177e-01,3.283152593660768059e-01
8.100452694386083285e-01,3.285990770523274929e-01
